STT,ID_cau_VLSP,Nguon_ZH,Tham_chieu_VI,Ban_dich_He_A,Ban_dich_He_B
1,vi-zh-2022-test-0001,在遭受新冠肺炎疫情不小影响的背景下，2022年对越南恢复和发展经济具有重要意义。,Năm 2022 là năm có ý nghĩa quan trọng trong phục hồi và phát triển kinh tế Việt Nam sau những tác động của dịch COVID - 19.,"Trong bối cảnh chịu ảnh hưởng không nhỏ từ đại dịch COVID-19, năm 2022 có ý nghĩa quan trọng đối với sự phục hồi và phát triển kinh tế của Việt Nam.","Trong bối cảnh ảnh hưởng nặng nề của dịch bệnh Covid-19, năm 2022 có ý nghĩa rất lớn đối với sự phục hồi và phát triển kinh tế của Việt Nam."
2,vi-zh-2022-test-0002,与新冠肺炎病毒共处不仅是医疗卫生问题，而且还涉及国家经济及社会所有活动的运作方式。,Sống chung với dịch COVID-19 không chỉ là vấn đề về y tế mà còn liên quan tới cả cách thức vận hành nền kinh tế và mọi hoạt động của xã hội.,Việc chung sống với virus SARS-CoV-2 không chỉ là vấn đề y tế công cộng mà còn liên quan đến cách thức vận hành của nền kinh tế quốc gia và mọi hoạt động xã hội.,"Sống chung với Covid-19 không chỉ là vấn đề y tế, sức khỏe mà còn liên quan đến cách thức vận hành của mọi hoạt động kinh tế, xã hội của đất nước."
3,vi-zh-2022-test-0003,为使经济尽可能早地恢复并可持续发展，同塔省国会代表黎明欢表示，应考虑经济自主性，制定政策提高经济主动性、抵御力和自主性。,"Để nền kinh tế phát triển ổn định, sớm phục hồi, đại biểu Lê Minh Hoan, đoàn đại biểu Quốc hội tỉnh Đồng Tháp, cho rằng cần xem xét đến tính tự chủ của nền kinh tế, có chính sách nâng cao sức chủ động, sức chống chịu, tính tự chủ của nền kinh tế.","Để nền kinh tế phục hồi và phát triển bền vững trong thời gian sớm nhất, đại biểu Quốc hội tỉnh Đồng Tháp Lê Minh Hoan cho rằng cần xem xét tính tự chủ của nền kinh tế, xây dựng các chính sách nâng cao tính chủ động, khả năng chống chịu và tự chủ của nền kinh tế.","Để nền kinh tế phục hồi và phát triển bền vững trong thời gian sớm nhất, ông Leong Huân, đại diện Quốc hội tỉnh Đồng Tháp cho rằng, cần xem xét tự chủ kinh tế và xây dựng chính sách nâng cao tính chủ động, tự cường, tự chủ về kinh tế."
4,vi-zh-2022-test-0004,尽早恢复经济、与病毒安全共处,"Sớm phục hồi kinh tế, sống chung an toàn với dịch COVID - 19","Sớm phục hồi kinh tế, chung sống an toàn với virus",Khôi phục nền kinh tế càng sớm càng tốt và chung sống an toàn với virus
5,vi-zh-2022-test-0005,此外，进出口还实现了正增长。,"Ngoài ra, một số tín hiệu về xuất nhập khẩu vẫn tăng trưởng.","Ngoài ra, xuất nhập khẩu cũng đạt mức tăng trưởng dương.","Ngoài ra, xuất nhập khẩu cũng đạt mức tăng trưởng tích cực."
6,vi-zh-2022-test-0006,国会将就此颁布更详细的新决议。,Chắc chắn Quốc hội sẽ ban hành Nghị quyết nói rõ vấn đề này.,Quốc hội sẽ ban hành một nghị quyết chi tiết hơn về vấn đề này.,Quốc hội sẽ ban hành nghị quyết mới chi tiết hơn về vấn đề này.
7,vi-zh-2022-test-0007,防疫工作的方针是安全、灵活适应和有效防控，先决条件是提高疫苗覆盖率。,"Về phòng chống dịch, cần đặt trọng tâm vào chủ trương thích ứng an toàn, linh hoạt và có hiệu quả với dịch bệnh, điều kiện tiên quyết là bao phủ vaccine.","Phương châm công tác phòng chống dịch là an toàn, linh hoạt thích ứng và kiểm soát hiệu quả, điều kiện tiên quyết là nâng cao tỷ lệ bao phủ vắc-xin.","Phương châm của công tác phòng chống dịch bệnh là an toàn, thích ứng linh hoạt, phòng ngừa và kiểm soát hiệu quả, điều kiện tiên quyết là tăng cường độ bao phủ vắc xin."
8,vi-zh-2022-test-0008,越南不能一直封闭，要重新开放，以解决就业、收入、经济社会发展等问题。,"Việt Nam không thể đóng cửa mãi, mà phải mở cửa để giải quyết việc làm, thu nhập, phát triển kinh tế - xã hội.","Việt Nam không thể tiếp tục đóng cửa mà cần mở cửa trở lại để giải quyết các vấn đề về việc làm, thu nhập, phát triển kinh tế - xã hội.","Việt Nam không thể tiếp tục đóng cửa và phải mở cửa trở lại để giải quyết các vấn đề như việc làm, thu nhập và phát triển kinh tế, xã hội."
9,vi-zh-2022-test-0009,2021年是越南实施2021-2026年新阶段性别平等战略的第一年。,Năm 2021 là năm Việt Nam bắt đầu thực hiện Chiến lược bình đẳng giới của giai đoạn mới (2021- 2026).,Năm 2021 là năm đầu tiên Việt Nam triển khai chiến lược bình đẳng giới giai đoạn mới 2021-2026.,Năm 2021 là năm đầu tiên Việt Nam thực hiện giai đoạn mới của Chiến lược bình đẳng giới 2021-2026.
10,vi-zh-2022-test-0010,其他研究也显示，新冠肺炎疫情对女性产生了深远的影响，女性失业率比男性高得多，但仍要肩负在学校停课期间照顾家庭和孩子的重担。,"Các nghiên cứu khác cũng cho thấy dịch Covid-19 đã tác động sâu sắc đối với phụ nữ, những người có nguy cơ mất việc làm cao hơn nhiều so với nam giới, trong khi vẫn phải đảm nhận gánh nặng trong sóc gia đình, con cái khi các trường học bị đóng cửa.","Các nghiên cứu khác cũng chỉ ra rằng đại dịch COVID-19 đã tác động sâu sắc đến phụ nữ, với tỷ lệ thất nghiệp ở phụ nữ cao hơn đáng kể so với nam giới, trong khi họ vẫn phải gánh vác trách nhiệm chăm sóc gia đình và con cái trong thời gian trường học đóng cửa.","Các nghiên cứu khác chỉ ra rằng đại dịch COVID-19 đã tác động sâu sắc đến phụ nữ, những người đang có tỷ lệ thất nghiệp cao hơn nhiều so với nam giới nhưng vẫn phải gánh gánh nặng chăm sóc gia đình và con cái khi trường học đóng cửa."
